Country_Name,Country_Code,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,Health_2003,Health_2004,Health_2005,Health_2006,Health_2007,Health_2008,Health_2009,Health_2010,Health_2011,Health_2012,Health_2013,Health_2014,Health_2015,Health_2016,Health_2017,Health_2018,Health_2019,Health_2020,Health_2021
Haiti,HTI,3.48077973188326,-1.3178567596495,3.07217337664731,1.76875060288195,4.70652994008303,2.6580323082747,5.89037894844316,-5.65151153448299,5.09821354410036,0.502424403581585,4.32478411472874,2.88877250863379,1.40000000859727,1.81246807847532,2.51027134544685,1.66781095484656,-1.72309699839232,-3.30550546965893,-1.79823988931486,3.53695321,3.42928433,3.30554652,3.48013902,3.64734101,3.75722051,3.50277376,4.54871035,5.91197777,5.56462336,4.10524035,4.52035809,5.07518148,4.80760574,3.8199389,4.31650305,3.91107917,3.22171092,3.47919273
Romania,ROU,2.34114732919521,10.4281130180976,4.6681480508487,8.02881107599163,7.23380774362805,9.30746717077338,-5.51739440805439,-3.90123628018621,4.51708696433914,1.92499326240754,0.269963878633803,4.12067496319813,3.16050387041089,2.8575460568877,8.19650650309624,6.02901904128214,3.85316383348211,-3.67751079121797,5.70889455766321,5.37,5.48,5.53,5.07,5.02,5.02,5.28,5.64,4.48,4.51,5.22,5.03,4.94,5.08,5.19,5.52,5.71,6.23,6.48
Ukraine,UKR,9.51660986436364,11.7953525281136,3.07123039245209,7.57142076322967,8.21584445165715,2.24349159628288,-15.1364679101502,4.09200436668087,5.44528081048476,0.152314967200653,0.045439094492707,-10.0788949840953,-9.7729872128676,2.44098194492067,2.35997228099491,3.48836234022659,3.19950386354134,-3.75280409994949,3.4456255827111,6.55,6.17,6.35,6.42,6.02,5.5,6.61,6.81,6.82,7.12,6.94,7.2,7.78,7.55,7.44,7.52,7.09,7.56,8.01
Pacific island small states,PSS,1.98622566571088,3.99109240071063,2.43981570061422,2.37574820869501,0.420858615914028,2.13121676754764,-0.59207485722942,3.73032563859934,3.86208343778161,1.00600853638552,3.21467716270793,3.6242973001453,3.77915708122441,3.78060733595218,4.0055017910708,2.76318012867718,1.21450022836216,-10.253068536481,-2.86796554332169,4.70463697399031,5.11854957643043,5.58520300247721,5.31213194786147,5.10328636052238,4.90329941692124,5.34475977431409,5.04270105733308,4.76783726949574,4.85206646941748,4.89378919064077,4.89584960442368,4.93991197309273,4.85776243423714,4.70429029563308,5.15198539355508,5.39427437851474,6.02423314745949,6.56337266178538
Tunisia,TUN,4.70239953285241,6.23579072222647,3.4865455430439,5.24409983246916,6.70952097453554,4.23778147502819,3.04345012371552,2.97113275066512,-2.04663389535644,4.21667711535632,2.42993096446429,3.09032803070775,0.967703108220121,1.11742594891074,2.23783867965943,2.62493010870395,1.58784665466504,-8.5918261797364,4.60518674330524,5.20888519,5.19890785,5.14555788,5.13109922,5.17542839,5.1644063,5.40595293,5.60950756,6.12299299,6.28984737,6.51394987,6.45006084,6.21339941,6.24778175,6.18557453,5.9375186,6.02461243,7.05024958,6.97273922
Eswatini,SWZ,3.88021358597126,3.62391422596625,5.99877654987925,5.9921668378351,4.43537557686975,0.821663913800052,1.56504885243515,3.79375496828149,2.247229761068,5.39663069666727,3.86121379766622,0.923230547144357,2.22748067532406,1.06261019342853,2.0265781557498,2.38009549534866,2.69216827271678,-1.55964258999499,10.6836938787079,6.37864399,6.81432486,7.37623358,7.82560062,7.93004131,8.85792923,8.63292217,8.5912571,8.46997261,7.82047606,7.45703411,7.25596571,7.05855274,6.82044792,6.98103714,6.62469387,7.15369368,6.59767151,7.03582335
Cameroon,CMR,5.45315368881347,7.04886281858374,2.22827020924117,3.80958327566137,4.32758900972871,2.8476778892105,2.57925177738754,2.89902472122014,3.37921128506045,4.62597872209571,4.99552916130783,5.71981814509198,5.66695298703932,4.53579423678801,3.54117654926007,3.95551423892049,3.47505998194981,0.259932915907115,3.33885747179505,3.90227985,3.72798967,3.77274442,3.73662806,3.70858574,3.65843678,3.49997187,3.57742167,3.85282946,3.9310236,3.63111043,3.78765464,3.59505081,3.5937767,3.39752436,3.61970162,3.65157914,3.77177453,3.82407379
Madagascar,MDG,9.78489212474175,5.25700362208742,4.75584509499119,5.3985084485368,5.71056419885052,6.71263253913001,-3.9787086116544,0.619239744622121,1.57842705366555,3.01114811621208,2.30037622800727,3.33920311195367,3.13229807490305,3.99314606199499,3.93330759462793,3.19435651744398,4.41123212909589,-7.13767162064489,5.73961573854336,5.00276518,5.25089979,5.2155776,5.07203817,4.60865784,4.08111715,4.38469839,4.69762659,4.521595,3.9110589,3.75156283,4.46240282,5.0062542,5.33248854,4.80225992,4.22846937,3.10129309,3.72316122,3.5045228
Botswana,BWA,4.62589474959299,2.70582170611173,4.55664565323181,8.36387109282306,5.79255577727118,3.25207295796832,-14.1442346163423,10.1222091179732,6.83852974803483,-0.170900761456892,11.1028237779771,5.69477738185952,-4.85133564036167,7.20442475914267,4.1143636634186,4.18809355373698,3.0322025744566,-8.72875252639037,11.9206365085117,6.40933847,6.09125996,5.26532936,4.87599421,5.52080727,5.89747286,6.62081194,6.26718187,5.86915016,6.35010576,6.49913645,5.8804059,6.10287762,5.76837635,6.62986994,6.04010344,6.12193203,6.1213398,6.30929565
Colombia,COL,3.91827190322513,5.33302206759905,4.82876110773741,6.71686869844402,6.73819469090975,3.28344618616541,1.13964864548062,4.49465897070922,6.94789198173555,3.91263576716115,5.13399351995672,4.49903000110972,2.95590137527523,2.08738250162794,1.35936086788746,2.56432428277704,3.18685539245533,-7.18591413760859,10.8011981904878,5.77505445,5.79892111,6.06710529,6.33546638,6.49102163,6.84192228,7.3113451,7.07130146,6.78076792,6.74601603,7.01724052,7.18553209,7.52338552,7.53117037,7.67864323,7.62541437,7.77954912,8.71432114,9.01772404
Djibouti,DJI,,,,,,,,,,,,7.06154324233921,7.52610891881017,7.1234323372872,5.458091517212,4.7744168883374,5.5451305999467,1.31636324158444,4.52234774643702,4.27386999,3.53825521,3.80623102,4.22306824,4.05582809,3.61543369,3.64194465,3.35966682,3.37655354,3.299927,2.92013574,2.96726322,3.3475771,2.7416594,2.46857476,2.33968735,2.16640544,2.15048313,2.87667227
East Asia & Pacific (excluding high income),EAP,8.94474821506344,9.12128477964977,9.97695756050231,11.0785090646634,12.4866919748479,8.61568809514881,7.98496641412531,9.92144884456243,8.642957947062,7.58030545300147,7.29872789260344,6.98433194373406,6.70715877038921,6.56471186911301,6.70769640336606,6.52499175086045,5.7818918001209,1.24692683762466,7.60374970783415,3.98263172351994,3.8919800920136,3.88267137573973,3.73154649274039,3.55791111743464,3.72757496227024,4.12669752709555,4.01993554087516,4.14231906408545,4.33718042971906,4.4689048970087,4.55669783805458,4.71782360486795,4.75400080557389,4.81891570786353,4.91792868707212,5.06615652519962,5.35199790509294,5.2597688616192
Fragile and conflict affected situations,FCS,1.07555673504498,11.2617102788407,5.8344600983722,5.82117279069327,5.98811524699423,5.04211251855638,3.06541528646062,7.01741756593431,0.0438829587353808,5.57037188422089,3.48339256279149,2.09628835920796,1.07053760946113,2.16715558337386,2.5433347260378,2.72015847064731,2.52349885724942,-6.35338636086044,4.56899423218873,4.9915298744582,4.77058761899179,4.52355939382491,4.45658642968786,4.42436668439657,4.11986753060557,4.46453459950271,4.22471749923283,4.13575970684936,4.16479415046476,4.28464998439692,4.22499951491078,4.45283308545376,4.77983186297821,4.74427021003563,4.44308552415849,4.37981529234089,4.86728412792969,5.16470993913675
Comoros,COM,2.1038716355305,1.91965980712278,2.83754786988332,2.6469554759412,0.800042348955387,3.96461118871815,3.24074072826829,3.77776674982255,4.1435066947591,3.16840986908748,4.4662473147818,2.10665758942474,1.14735076108914,3.32044656240026,3.81576287682401,3.6424511379732,1.76078023923176,-0.195556827149787,2.11219557695527,6.65392351,6.58027744,6.12521315,5.77074099,5.41753864,5.06897497,4.92694378,4.99181557,5.3021183,5.17354631,5.10299349,5.23849726,4.60089922,4.65263557,5.26807451,4.90318584,5.18044472,5.86521959,6.33513117
Mali,MLI,9.1190419953243,1.55999866053489,6.53477877481288,4.66218687758322,3.49361681253744,4.77314508142975,4.80632226697864,5.31393527895875,3.21313378044307,-0.83673463153076,2.29506828962617,7.08468388056527,6.17180002424978,5.85229919941415,5.30545608438166,4.74648432724561,4.75616080770808,-1.235450447077,3.05261356942125,5.0505991,5.21767759,5.19516516,5.45589256,5.25303173,5.02686644,5.2122364,4.67865133,4.01483774,3.7521615,3.96750712,4.48158312,4.11143351,3.77377558,3.67425752,3.73249912,3.82943797,3.47597885,4.47341442
