Country_Name,Country_Code,Indicator_Name,Indicator_Code,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.700116686114356,1.17508813160987,0.731707163554191,3.816441912988,2.97645513131597,0.95987913356484,-5.69383633640285,4.17988249873657,3.92519270463411,0.418497594217598,0.437591303144671,2.20954343134872,1.49193152760772,2.22999986782015,2.68023111405891,0.981232606004738,1.07547163576423,-3.82676871619293,3.16381994194575
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.06700230344272,6.35769548008234,7.10756836811267,8.61926620832807,7.59682880054878,7.82490276337012,7.50177491225853,8.52690551739717,8.03865268023725,8.02609843461283,8.02630022699017,7.61196343979319,7.27006584373785,7.02283625501138,6.8925308726989,6.24796000755872,5.4577350924848,0.503031829018681,2.52835100486102
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.823160756684118,2.82975292869891,1.66321998030079,2.44932360111885,2.42473624337305,0.254945960124033,-2.87331382849632,1.94943762312663,2.19270063266654,0.313134751077172,0.576326674771792,0.956183052371557,1.1129123405747,1.09546440372048,2.29141999417021,1.86506607081999,1.84297181445896,-7.54045916249407,6.43520962104938
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.03798254902905,3.5712043433582,2.32173705381926,2.55234994366351,3.67688113594973,0.446928735275904,-2.02074306169408,2.86429270764155,1.69451389861332,0.739217283058679,0.459242192907709,1.57853314322614,2.04145900919961,1.26668640902095,1.6195802783878,1.79294519302076,2.24083533103139,-5.30447336526071,6.92798360287613
St. Vincent and the Grenadines,VCT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.69133665352797,4.11469880444737,2.48855733938132,6.99692626758825,3.3229685982929,0.404640808638888,-1.3781936056056,-4.47046793507802,-0.60627665148327,1.16911218376478,2.4624841721544,1.25025436927181,2.78316119435202,4.14593168183934,1.44883063367161,3.1756114423991,0.661727443679865,-3.73914599187015,0.75379707990075
Sweden,SWE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.30981059032811,4.33685615384474,2.85880323990261,4.66277355175126,3.43922177600065,-0.450559256743361,-4.33979057452935,5.95210700755608,3.1953332348894,-0.588304568990736,1.187775715906,2.65779827531642,4.48928158790491,2.07059315052096,2.56792452526476,1.95002284569983,1.98619587380391,-2.17021317885872,6.14702464708019
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.80638513484521,3.09236383456562,3.21045435651203,2.6379438004107,2.04990461109004,0.995406309993598,-2.91508623949733,3.09080637403602,3.13719438973661,1.75566132540601,2.32581357393478,2.87346677184995,0.649970993709132,1.03855093491798,3.03383490260789,2.74296343112555,1.9084319253883,-5.03823344128351,5.28695689105889
Guinea-Bissau,GNB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.285931046863254,1.17189152783422,6.55977110317356,2.66650493227063,2.55982647882718,4.52457514440721,2.44795106862898,5.60536310250697,8.08504167719053,-1.71286958276356,3.25607191163699,0.964525747030635,6.13408935472681,5.30659633085426,4.78899162146706,3.76145359456295,4.50009293739862,1.50000000000006,6.39995262427662
French Polynesia,PYF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.1269288487261,0.971259129987544,0.309973476180005,0.889584117597607,1.70497563803002,0.00676755066312751,-4.23139183069446,-2.4660641898174,-2.96195745427229,-0.927537712532072,0.398801414346934,0.593554452942286,1.66510563013841,2.3696444471055,4.37450238290198,1.83202822787646,2.69993449863051,-7.05099065433484,2.09478896837454
Cayman Islands,CYM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,3.16262533840754,-0.357401372925935,-7.20048278238133,-2.71563682344265,1.16906269526342,1.22975368307725,1.2793305928175,2.65452932151371,2.83312242670048,3.23997361448569,3.18404730726789,4.26726567162505,3.91563637725301,-4.95480732200573,4.90492954210123
